timestamp,MQ-135,MQ-7
0,209,456
10,211,451
20,209,452
30,209,450
40,209,449
50,210,450
60,209,451
70,211,451
80,209,449
90,209,451
100,209,450
110,210,449
120,210,450
130,208,450
140,208,450
150,209,449
160,209,451
170,209,450
180,210,451
190,210,450
200,211,451
210,210,449
220,210,452
230,210,449
240,209,450
250,211,451
260,210,451
270,210,450
280,212,450
290,211,451
300,211,451
310,210,450
320,211,451
330,211,451
340,211,448
350,210,449
360,211,450
370,211,449
380,211,450
390,210,451
400,210,449
410,211,450
420,211,449
430,211,449
440,210,449
450,211,449
460,211,451
470,211,449
480,209,448
490,210,451
500,211,449
510,211,450
520,213,451
530,211,450
540,213,450
550,210,450
560,211,449
570,211,449
580,210,451
590,211,452
600,211,450
610,211,452
620,213,450
630,211,451
640,211,450
650,209,449
660,211,450
670,211,451
680,213,451
690,212,450
700,211,449
710,210,451
720,211,451
730,212,450
740,211,452
750,213,451
760,211,452
770,211,451
780,212,451
790,212,453
800,211,451
810,211,451
820,214,451
830,211,450
840,210,450
850,210,451
860,211,451
870,213,450
880,210,449
890,212,451
900,211,452
910,212,451
920,211,451
930,211,451
940,211,450
950,210,450
960,212,451
970,211,451
980,211,449
990,211,452
