timestamp,MQ-135,MQ-7
0,200,355
10,200,360
20,200,358
30,199,359
40,200,361
50,197,361
60,201,360
70,199,362
80,200,360
90,200,360
100,199,362
110,200,361
120,199,361
130,200,361
140,200,361
150,200,361
160,199,361
170,199,360
180,200,362
190,200,363
200,200,362
210,201,363
220,200,362
230,201,364
240,201,362
250,201,362
260,201,360
270,200,361
280,202,362
290,201,363
300,201,365
310,201,361
320,201,363
330,202,362
340,201,361
350,199,362
360,202,362
370,201,363
380,201,360
390,200,362
400,201,362
410,202,363
420,201,362
430,202,363
440,202,363
450,202,361
460,200,363
470,201,360
480,201,363
490,200,363
500,199,362
510,203,361
520,201,363
530,202,362
540,201,361
550,202,363
560,202,363
570,201,360
580,202,362
590,201,362
600,199,362
610,202,363
620,202,363
630,202,361
640,202,362
650,203,362
660,202,361
670,201,363
680,203,361
690,202,362
700,202,363
710,203,364
720,202,364
730,201,364
740,202,362
750,203,361
760,202,363
770,200,363
780,204,361
790,201,361
800,203,363
810,203,362
820,203,361
830,202,361
840,203,362
850,203,362
860,203,363
870,202,361
880,202,363
890,202,361
900,202,362
910,202,360
920,203,361
930,203,362
940,200,359
950,203,360
960,203,358
970,202,362
980,202,361
990,202,361
