timestamp,MQ-135,MQ-7
0,184,420
10,183,425
20,184,425
30,181,425
40,181,422
50,182,423
60,182,424
70,181,422
80,182,423
90,183,421
100,182,422
110,182,421
120,181,421
130,182,422
140,181,420
150,179,420
160,181,420
170,182,421
180,182,423
190,183,420
200,180,421
210,183,422
220,183,420
230,182,423
240,184,418
250,182,421
260,181,421
270,183,422
280,181,421
290,181,419
300,181,419
310,182,421
320,182,421
330,181,420
340,181,421
350,181,421
360,181,419
370,181,421
380,182,422
390,182,421
400,181,422
410,182,420
420,183,420
430,183,422
440,181,419
450,180,421
460,181,419
470,181,421
480,182,421
490,184,419
500,181,420
510,185,422
520,182,420
530,180,421
540,180,418
550,181,419
560,182,419
570,182,418
580,182,421
590,181,420
600,182,421
610,181,418
620,182,420
630,181,420
640,181,420
650,179,419
660,185,419
670,181,420
680,182,419
690,181,420
700,182,420
710,181,420
720,181,419
730,182,418
740,180,417
750,179,419
760,183,416
770,181,419
780,180,419
790,181,419
800,180,420
810,181,418
820,181,418
830,183,420
840,180,416
850,181,419
860,181,419
870,180,419
880,180,418
890,180,418
900,181,419
910,180,419
920,179,419
930,181,420
940,181,417
950,180,418
960,181,418
970,182,419
980,180,419
990,179,418
