timestamp,MQ-135,MQ-7
0,200,454
10,200,455
20,199,453
30,199,451
40,199,452
50,199,452
60,198,453
70,199,454
80,200,454
90,201,455
100,201,455
110,201,452
120,200,454
130,201,455
140,202,453
150,201,454
160,201,455
170,201,453
180,201,452
190,199,453
200,200,452
210,201,455
220,201,454
230,201,455
240,201,455
250,201,454
260,200,454
270,203,454
280,202,454
290,202,455
300,204,454
310,203,455
320,204,453
330,203,454
340,202,456
350,203,454
360,203,455
370,205,454
380,203,453
390,200,454
400,201,455
410,203,454
420,202,453
430,202,453
440,202,455
450,202,454
460,202,455
470,202,455
480,202,454
490,202,455
500,204,455
510,202,454
520,200,454
530,201,453
540,200,453
550,199,453
560,199,451
570,200,452
580,199,451
590,199,451
600,200,451
610,198,452
620,199,452
630,199,452
640,198,451
650,200,451
660,197,451
670,199,452
680,199,452
690,199,452
700,200,452
710,197,452
720,198,452
730,198,451
740,202,451
750,198,451
760,200,452
770,198,450
780,198,452
790,198,451
800,198,452
810,198,453
820,197,451
830,197,452
840,199,450
850,198,450
860,198,451
870,198,451
880,198,449
890,199,452
900,197,452
910,198,450
920,199,451
930,198,452
940,198,452
950,199,451
960,199,451
970,199,450
980,199,452
990,199,452
