timestamp,MQ-135,MQ-7
0,407,446
10,407,448
20,406,445
30,405,445
40,405,447
50,406,444
60,404,445
70,404,445
80,404,443
90,404,446
100,403,444
110,404,445
120,403,444
130,403,445
140,402,445
150,403,442
160,403,443
170,403,442
180,402,444
190,402,444
200,403,444
210,401,445
220,402,444
230,403,444
240,401,444
250,401,442
260,402,443
270,401,443
280,401,442
290,398,443
300,402,442
310,400,442
320,401,441
330,401,443
340,401,444
350,399,442
360,399,444
370,400,444
380,400,444
390,402,444
400,400,441
410,400,445
420,400,443
430,399,443
440,399,441
450,399,441
460,400,443
470,398,443
480,399,440
490,397,444
500,398,442
510,398,442
520,401,441
530,399,441
540,400,444
550,401,442
560,399,445
570,400,443
580,399,442
590,398,444
600,397,442
610,399,444
620,397,442
630,396,442
640,397,441
650,398,442
660,397,442
670,398,442
680,396,443
690,398,442
700,397,441
710,397,444
720,394,442
730,400,444
740,397,443
750,396,442
760,397,442
770,394,443
780,396,443
790,395,441
800,395,441
810,395,441
820,395,442
830,395,442
840,392,441
850,394,440
860,395,441
870,395,442
880,395,442
890,394,442
900,394,440
910,393,442
920,391,441
930,391,440
940,392,443
950,391,441
960,394,441
970,394,440
980,392,441
990,392,443
