timestamp,MQ-135,MQ-7
0,211,351
10,210,358
20,211,359
30,210,360
40,210,362
50,210,361
60,212,361
70,210,362
80,208,362
90,210,362
100,211,361
110,210,360
120,210,363
130,211,363
140,210,362
150,210,361
160,210,361
170,209,362
180,211,362
190,211,363
200,211,362
210,211,360
220,211,363
230,210,362
240,211,363
250,212,363
260,211,363
270,211,362
280,211,361
290,211,362
300,212,363
310,211,362
320,212,363
330,211,362
340,210,362
350,209,364
360,211,362
370,210,362
380,211,362
390,211,363
400,211,361
410,209,362
420,210,362
430,211,361
440,211,361
450,211,361
460,211,361
470,211,360
480,210,361
490,209,362
500,212,361
510,210,362
520,211,361
530,211,363
540,213,360
550,211,363
560,211,363
570,212,363
580,210,363
590,210,361
600,211,361
610,213,362
620,212,363
630,212,362
640,212,363
650,211,362
660,211,362
670,212,360
680,212,361
690,211,362
700,212,361
710,213,362
720,213,360
730,215,363
740,212,361
750,212,360
760,213,360
770,214,362
780,213,362
790,213,361
800,214,363
810,213,362
820,213,362
830,213,362
840,213,361
850,212,361
860,212,360
870,212,361
880,213,361
890,212,361
900,213,362
910,213,360
920,212,363
930,212,363
940,212,363
950,215,361
960,211,363
970,213,362
980,212,363
990,213,362
