timestamp,MQ-135,MQ-7
0,194,337
10,195,345
20,194,350
30,195,351
40,196,351
50,196,348
60,196,351
70,195,350
80,196,351
90,194,351
100,197,350
110,195,351
120,195,350
130,194,350
140,195,351
150,194,353
160,195,352
170,195,350
180,195,353
190,196,351
200,195,352
210,197,353
220,195,352
230,195,350
240,195,351
250,195,352
260,194,351
270,196,352
280,195,351
290,197,351
300,197,352
310,195,352
320,195,353
330,195,353
340,198,351
350,194,353
360,195,351
370,196,353
380,195,352
390,193,350
400,195,353
410,194,352
420,195,354
430,195,352
440,193,351
450,195,354
460,197,353
470,195,353
480,195,353
490,196,352
500,194,353
510,194,353
520,196,352
530,195,352
540,194,353
550,195,352
560,196,353
570,195,352
580,194,353
590,193,355
600,195,353
610,195,352
620,195,353
630,191,352
640,194,352
650,194,353
660,193,352
670,195,354
680,194,354
690,194,353
700,194,355
710,194,353
720,194,353
730,194,355
740,195,353
750,195,353
760,194,353
770,194,352
780,195,353
790,195,353
800,195,355
810,195,353
820,195,353
830,195,353
840,194,354
850,195,354
860,194,353
870,195,353
880,195,354
890,194,353
900,195,353
910,194,354
920,194,355
930,195,353
940,194,355
950,193,355
960,194,353
970,195,353
980,194,353
990,194,354
