timestamp,MQ-135,MQ-7
0,212,424
10,212,426
20,212,426
30,212,425
40,212,424
50,212,427
60,211,425
70,210,426
80,212,425
90,213,425
100,210,426
110,211,423
120,211,425
130,211,426
140,211,424
150,213,424
160,212,423
170,210,423
180,211,422
190,211,423
200,210,421
210,212,423
220,211,423
230,212,422
240,212,423
250,212,423
260,212,422
270,212,423
280,213,423
290,213,423
300,214,425
310,212,424
320,213,423
330,212,424
340,212,423
350,212,423
360,211,422
370,211,422
380,212,423
390,211,421
400,214,424
410,211,422
420,211,423
430,213,421
440,212,423
450,211,424
460,212,423
470,211,421
480,212,423
490,212,422
500,211,424
510,211,423
520,211,424
530,209,424
540,212,425
550,211,425
560,211,421
570,211,424
580,212,423
590,211,422
600,212,423
610,211,421
620,212,423
630,211,419
640,212,422
650,212,420
660,216,421
670,213,420
680,212,420
690,211,421
700,212,422
710,214,419
720,213,420
730,212,423
740,211,422
750,211,422
760,214,423
770,213,422
780,210,420
790,211,422
800,211,421
810,210,422
820,210,422
830,210,421
840,211,424
850,212,421
860,211,423
870,210,422
880,210,421
890,211,423
900,211,420
910,211,421
920,211,421
930,211,421
940,211,423
950,211,423
960,210,421
970,211,420
980,209,422
990,211,421
