timestamp,MQ-135,MQ-7
0,196,336
10,199,346
20,198,351
30,198,351
40,198,351
50,198,350
60,200,351
70,198,351
80,197,350
90,197,350
100,198,352
110,197,350
120,197,351
130,198,352
140,196,351
150,197,351
160,197,351
170,197,354
180,198,351
190,198,353
200,198,353
210,199,356
220,198,355
230,198,353
240,199,355
250,198,354
260,199,353
270,197,354
280,199,356
290,199,354
300,198,352
310,198,354
320,198,353
330,198,350
340,198,352
350,198,353
360,199,352
370,197,352
380,197,352
390,197,353
400,197,351
410,197,352
420,196,352
430,198,351
440,197,352
450,198,353
460,198,353
470,198,353
480,198,353
490,197,353
500,198,353
510,198,353
520,199,352
530,198,351
540,197,352
550,198,350
560,197,352
570,196,352
580,197,350
590,196,351
600,197,353
610,198,352
620,198,352
630,198,352
640,197,354
650,198,354
660,198,352
670,198,353
680,198,352
690,198,354
700,198,352
710,198,353
720,197,352
730,197,351
740,197,353
750,198,353
760,198,353
770,198,353
780,198,353
790,198,354
800,199,351
810,196,352
820,198,350
830,197,351
840,196,353
850,196,354
860,195,353
870,197,352
880,197,352
890,197,352
900,196,351
910,197,353
920,198,353
930,196,351
940,198,353
950,196,350
960,197,352
970,195,352
980,197,350
990,196,351
