timestamp,MQ-135,MQ-7
0,214,349
10,212,355
20,212,356
30,211,360
40,211,359
50,210,360
60,212,361
70,211,360
80,213,362
90,211,360
100,212,358
110,213,360
120,214,358
130,212,360
140,212,359
150,212,361
160,212,360
170,213,361
180,212,359
190,212,361
200,212,361
210,211,362
220,213,359
230,212,361
240,213,360
250,213,362
260,213,363
270,213,361
280,212,362
290,214,360
300,213,363
310,215,362
320,212,360
330,213,360
340,212,361
350,213,362
360,212,361
370,213,361
380,212,360
390,214,359
400,213,361
410,212,362
420,211,361
430,212,360
440,211,361
450,212,362
460,212,363
470,213,359
480,212,361
490,214,361
500,214,361
510,214,362
520,216,362
530,212,362
540,214,362
550,214,361
560,213,362
570,214,361
580,213,361
590,213,362
600,215,363
610,213,363
620,215,364
630,217,363
640,215,362
650,215,361
660,213,361
670,213,361
680,213,363
690,214,362
700,214,361
710,212,363
720,214,360
730,213,363
740,214,363
750,214,363
760,213,363
770,213,362
780,213,363
790,214,363
800,214,362
810,213,361
820,214,360
830,214,361
840,214,363
850,214,363
860,214,363
870,213,364
880,213,362
890,213,361
900,213,363
910,214,363
920,213,361
930,213,363
940,213,362
950,213,361
960,213,362
970,213,362
980,213,363
990,213,361
