timestamp,MQ-135,MQ-7
0,575,476
10,575,470
20,575,470
30,575,470
40,575,471
50,576,471
60,576,470
70,576,469
80,575,469
90,577,471
100,577,470
110,576,470
120,575,469
130,577,471
140,576,471
150,577,471
160,577,470
170,575,471
180,575,471
190,576,471
200,576,470
210,573,470
220,575,467
230,576,472
240,576,469
250,576,469
260,575,471
270,575,470
280,576,469
290,575,470
300,575,470
310,574,467
320,574,469
330,576,471
340,575,471
350,576,469
360,575,469
370,576,471
380,575,470
390,576,471
400,575,471
410,574,471
420,573,469
430,576,469
440,574,470
450,574,470
460,575,470
470,574,470
480,574,470
490,575,468
500,575,469
510,576,471
520,572,468
530,572,469
540,573,468
550,574,468
560,575,471
570,574,470
580,575,471
590,575,469
600,574,470
610,576,471
620,572,469
630,574,470
640,575,470
650,576,469
660,573,469
670,578,471
680,576,470
690,576,470
700,575,471
710,575,472
720,573,470
730,577,470
740,575,470
750,575,470
760,576,472
770,575,470
780,574,470
790,574,471
800,576,470
810,575,470
820,575,471
830,575,470
840,574,469
850,573,471
860,575,470
870,575,471
880,575,471
890,574,469
900,575,472
910,575,471
920,576,470
930,573,470
940,574,469
950,572,471
960,573,469
970,574,470
980,574,471
990,574,472
