timestamp,MQ-135,MQ-7
0,194,462
10,193,459
20,193,460
30,192,459
40,192,459
50,193,459
60,192,460
70,190,457
80,192,458
90,193,458
100,193,459
110,193,459
120,192,458
130,192,456
140,192,459
150,192,458
160,192,458
170,191,458
180,190,458
190,193,457
200,192,457
210,192,459
220,192,458
230,192,455
240,192,458
250,192,457
260,194,455
270,191,456
280,192,456
290,192,457
300,193,455
310,192,455
320,192,454
330,191,456
340,192,458
350,192,455
360,190,458
370,194,456
380,191,454
390,191,457
400,192,456
410,192,457
420,193,454
430,192,454
440,191,457
450,192,455
460,192,456
470,193,456
480,191,455
490,190,457
500,193,455
510,192,455
520,192,456
530,192,455
540,193,456
550,192,455
560,192,455
570,191,454
580,191,454
590,192,456
600,193,456
610,192,455
620,192,455
630,191,454
640,192,455
650,192,454
660,192,455
670,191,456
680,192,454
690,192,456
700,191,454
710,191,454
720,194,454
730,190,453
740,193,456
750,192,454
760,191,454
770,191,453
780,190,453
790,193,455
800,191,454
810,192,454
820,192,454
830,191,453
840,191,455
850,190,454
860,191,455
870,192,452
880,192,453
890,192,454
900,192,454
910,187,454
920,192,454
930,191,454
940,191,455
950,189,454
960,190,454
970,192,454
980,192,453
990,193,454
