timestamp,MQ-135,MQ-7
0,350,489
10,352,471
20,351,470
30,352,470
40,352,469
50,352,472
60,354,472
70,353,473
80,355,476
90,356,478
100,355,479
110,358,483
120,357,483
130,358,482
140,358,483
150,357,482
160,359,484
170,360,477
180,361,476
190,362,473
200,360,475
210,362,474
220,366,472
230,363,473
240,364,469
250,365,472
260,368,474
270,366,473
280,362,476
290,366,474
300,367,476
310,367,476
320,368,476
330,369,477
340,369,476
350,372,476
360,371,475
370,371,477
380,371,476
390,372,474
400,373,477
410,373,476
420,374,476
430,375,477
440,374,475
450,377,476
460,373,476
470,377,476
480,376,476
490,377,476
500,378,477
510,378,479
520,382,479
530,381,477
540,381,477
550,382,476
560,383,478
570,385,479
580,384,477
590,386,478
600,386,479
610,387,478
620,386,479
630,389,480
640,388,479
650,388,479
660,391,478
670,391,479
680,390,481
690,392,479
700,392,481
710,393,480
720,393,480
730,395,480
740,395,479
750,396,478
760,397,479
770,397,479
780,399,480
790,395,479
800,397,479
810,397,480
820,400,481
830,401,481
840,399,480
850,401,480
860,401,480
870,404,480
880,404,481
890,403,479
900,404,480
910,406,479
920,406,481
930,406,479
940,406,478
950,407,481
960,408,480
970,410,479
980,408,479
990,409,480
