timestamp,MQ-135,MQ-7
0,207,337
10,206,348
20,207,351
30,206,352
40,208,355
50,207,353
60,205,353
70,207,354
80,205,356
90,206,354
100,206,353
110,206,353
120,206,354
130,207,356
140,208,354
150,208,355
160,205,356
170,207,355
180,207,356
190,210,355
200,207,354
210,210,354
220,206,354
230,206,357
240,207,356
250,211,357
260,206,355
270,207,355
280,207,355
290,207,355
300,206,355
310,207,354
320,206,354
330,207,355
340,207,355
350,206,353
360,207,354
370,209,354
380,206,355
390,206,354
400,207,356
410,206,355
420,207,356
430,206,356
440,204,355
450,205,354
460,205,353
470,207,355
480,205,356
490,205,354
500,205,355
510,205,356
520,205,355
530,206,355
540,206,354
550,205,355
560,205,355
570,208,356
580,205,356
590,207,355
600,205,356
610,205,355
620,204,356
630,205,355
640,204,355
650,204,354
660,205,354
670,205,356
680,202,356
690,203,354
700,205,355
710,203,355
720,204,355
730,204,354
740,203,354
750,205,356
760,204,354
770,204,355
780,205,355
790,205,354
800,205,354
810,204,354
820,205,355
830,203,354
840,203,355
850,206,354
860,204,356
870,205,354
880,205,354
890,204,353
900,203,355
910,207,353
920,205,354
930,204,355
940,204,354
950,203,353
960,203,352
970,202,353
980,203,354
990,203,354
