timestamp,MQ-135,MQ-7
0,261,450
10,262,450
20,260,448
30,261,448
40,260,449
50,260,448
60,259,451
70,262,449
80,261,451
90,263,450
100,260,450
110,260,450
120,261,449
130,262,448
140,259,448
150,260,451
160,260,451
170,260,450
180,258,449
190,260,449
200,262,448
210,261,450
220,261,448
230,261,450
240,261,449
250,262,449
260,261,450
270,261,450
280,261,450
290,261,450
300,264,448
310,261,449
320,264,450
330,261,448
340,260,450
350,261,448
360,261,450
370,260,449
380,261,449
390,262,449
400,261,449
410,260,450
420,261,449
430,261,450
440,260,449
450,259,447
460,261,451
470,261,449
480,261,450
490,260,448
500,261,448
510,261,451
520,262,447
530,259,449
540,260,451
550,259,448
560,262,450
570,258,449
580,261,449
590,261,449
600,261,448
610,260,450
620,258,450
630,261,449
640,260,448
650,259,449
660,261,450
670,262,448
680,257,447
690,259,449
700,257,449
710,260,449
720,260,450
730,260,449
740,260,449
750,259,447
760,260,447
770,258,450
780,260,449
790,261,449
800,261,449
810,260,448
820,261,448
830,258,447
840,260,448
850,260,448
860,259,447
870,259,449
880,258,448
890,259,447
900,258,447
910,259,447
920,261,449
930,264,449
940,260,449
950,260,449
960,258,448
970,258,447
980,257,446
990,259,450
