timestamp,MQ-135,MQ-7
0,235,344
10,234,354
20,235,357
30,235,355
40,235,358
50,235,357
60,234,357
70,234,357
80,235,358
90,234,357
100,234,357
110,235,356
120,234,359
130,234,357
140,234,356
150,235,358
160,235,359
170,234,359
180,235,358
190,234,359
200,235,360
210,234,360
220,235,359
230,236,358
240,236,359
250,236,359
260,234,360
270,234,359
280,235,360
290,235,358
300,235,358
310,236,358
320,235,358
330,234,358
340,235,359
350,237,359
360,236,359
370,235,360
380,235,359
390,235,357
400,235,360
410,236,358
420,235,360
430,238,359
440,236,358
450,235,359
460,236,359
470,235,359
480,235,357
490,235,359
500,234,361
510,235,359
520,234,360
530,234,358
540,235,358
550,235,359
560,235,360
570,236,359
580,234,359
590,235,358
600,235,359
610,236,358
620,234,358
630,235,358
640,233,360
650,233,358
660,233,358
670,234,360
680,232,358
690,236,359
700,234,357
710,232,358
720,234,359
730,235,358
740,233,360
750,233,360
760,234,360
770,234,359
780,234,358
790,235,358
800,234,358
810,234,358
820,233,359
830,236,357
840,234,357
850,234,358
860,233,358
870,233,360
880,233,360
890,230,361
900,233,359
910,233,358
920,234,357
930,234,359
940,234,360
950,233,358
960,235,358
970,233,360
980,234,360
990,234,358
