timestamp,MQ-135,MQ-7
0,459,454
10,459,454
20,459,455
30,457,451
40,458,452
50,459,453
60,456,453
70,454,452
80,457,453
90,458,453
100,457,453
110,455,452
120,455,453
130,454,452
140,453,450
150,455,452
160,455,451
170,456,453
180,456,450
190,455,450
200,455,452
210,455,450
220,455,453
230,453,449
240,454,452
250,454,450
260,454,451
270,454,450
280,453,449
290,453,452
300,454,451
310,452,451
320,453,450
330,450,451
340,450,451
350,448,450
360,452,449
370,452,450
380,451,451
390,452,451
400,450,449
410,452,448
420,450,449
430,450,451
440,447,449
450,448,449
460,448,449
470,447,450
480,447,448
490,449,451
500,450,450
510,448,449
520,447,451
530,447,448
540,447,451
550,446,449
560,445,450
570,445,449
580,445,447
590,444,450
600,443,449
610,443,449
620,442,449
630,444,448
640,443,449
650,443,449
660,443,448
670,442,448
680,442,447
690,441,449
700,442,447
710,440,449
720,442,448
730,440,446
740,440,448
750,441,449
760,440,448
770,440,449
780,440,448
790,440,448
800,437,448
810,439,449
820,442,448
830,438,447
840,439,448
850,438,449
860,438,448
870,435,449
880,437,447
890,437,448
900,437,448
910,437,448
920,438,448
930,437,446
940,436,449
950,435,447
960,437,449
970,437,447
980,436,448
990,436,447
