timestamp,MQ-135,MQ-7
0,565,473
10,562,468
20,563,469
30,566,468
40,562,468
50,564,466
60,563,465
70,565,467
80,566,469
90,564,466
100,564,466
110,563,465
120,564,468
130,567,467
140,564,465
150,565,465
160,565,467
170,566,466
180,565,467
190,565,464
200,564,468
210,564,466
220,564,467
230,563,466
240,561,465
250,562,467
260,563,467
270,565,465
280,567,466
290,563,467
300,564,467
310,564,465
320,563,466
330,565,465
340,565,466
350,563,467
360,564,467
370,564,466
380,563,464
390,564,467
400,563,466
410,564,466
420,563,467
430,563,466
440,564,466
450,561,464
460,561,467
470,563,464
480,564,466
490,563,465
500,563,464
510,563,466
520,563,467
530,563,465
540,563,466
550,563,466
560,561,463
570,564,464
580,563,466
590,563,464
600,563,465
610,563,465
620,563,466
630,562,466
640,562,464
650,561,465
660,561,464
670,562,464
680,560,466
690,561,465
700,563,464
710,563,463
720,563,465
730,561,466
740,561,465
750,561,464
760,559,465
770,560,464
780,561,462
790,560,464
800,562,465
810,560,464
820,559,463
830,560,464
840,560,464
850,560,465
860,558,462
870,561,464
880,561,466
890,562,464
900,559,463
910,561,464
920,560,465
930,563,464
940,558,464
950,560,465
960,560,464
970,560,465
980,563,463
990,559,465
