timestamp,MQ-135,MQ-7
0,213,348
10,214,356
20,213,357
30,213,360
40,214,360
50,215,360
60,215,360
70,213,362
80,215,361
90,214,361
100,214,359
110,214,361
120,214,362
130,214,363
140,214,360
150,214,361
160,214,361
170,214,361
180,214,361
190,214,360
200,214,362
210,213,360
220,215,361
230,213,362
240,213,362
250,215,361
260,215,362
270,215,363
280,214,363
290,214,362
300,214,360
310,215,361
320,215,360
330,215,362
340,214,360
350,217,360
360,213,361
370,214,362
380,214,362
390,213,361
400,213,362
410,216,360
420,216,361
430,216,360
440,216,362
450,216,360
460,214,359
470,214,362
480,212,362
490,213,362
500,213,361
510,217,362
520,215,361
530,214,362
540,213,362
550,214,362
560,215,361
570,215,361
580,215,362
590,214,361
600,213,362
610,215,361
620,215,362
630,214,361
640,214,362
650,215,362
660,214,362
670,213,361
680,215,362
690,215,362
700,215,362
710,214,363
720,215,361
730,213,361
740,214,361
750,215,363
760,214,360
770,213,361
780,214,363
790,213,360
800,215,362
810,216,363
820,216,362
830,215,362
840,217,362
850,215,362
860,214,362
870,215,361
880,215,362
890,215,362
900,216,363
910,216,363
920,215,362
930,215,360
940,215,362
950,215,361
960,216,362
970,215,362
980,214,362
990,216,362
