timestamp,MQ-135,MQ-7
0,178,413
10,178,417
20,178,416
30,177,418
40,179,416
50,180,416
60,177,416
70,179,414
80,181,415
90,178,415
100,178,414
110,178,417
120,178,417
130,179,417
140,178,416
150,178,414
160,179,416
170,179,415
180,180,417
190,179,415
200,178,414
210,178,417
220,178,415
230,178,415
240,176,416
250,178,415
260,177,415
270,178,414
280,176,415
290,182,415
300,178,416
310,176,415
320,178,413
330,177,415
340,177,415
350,178,415
360,178,414
370,181,414
380,176,414
390,180,416
400,177,415
410,179,415
420,177,413
430,178,415
440,178,414
450,177,415
460,178,415
470,177,413
480,177,415
490,178,415
500,177,415
510,177,414
520,178,413
530,177,415
540,178,413
550,176,414
560,177,413
570,177,413
580,177,414
590,177,412
600,177,413
610,177,414
620,177,414
630,176,414
640,177,411
650,177,414
660,177,413
670,177,411
680,177,414
690,177,413
700,177,414
710,177,413
720,176,413
730,176,412
740,177,414
750,177,412
760,177,413
770,177,413
780,177,414
790,176,413
800,177,413
810,177,414
820,176,414
830,176,412
840,177,413
850,177,413
860,177,412
870,176,413
880,177,413
890,177,410
900,177,413
910,176,414
920,179,412
930,176,411
940,178,410
950,176,414
960,177,414
970,177,413
980,176,414
990,179,413
