timestamp,MQ-135,MQ-7
0,201,465
10,201,456
20,198,455
30,201,455
40,200,454
50,200,456
60,200,455
70,200,456
80,201,456
90,200,455
100,199,456
110,198,454
120,200,455
130,200,453
140,200,454
150,201,455
160,200,453
170,201,454
180,200,454
190,200,454
200,200,456
210,198,455
220,201,455
230,200,455
240,201,455
250,200,456
260,201,454
270,201,454
280,201,456
290,201,455
300,201,454
310,201,453
320,201,455
330,201,455
340,201,454
350,201,454
360,201,454
370,201,455
380,201,455
390,201,455
400,200,455
410,201,453
420,201,454
430,201,454
440,202,454
450,200,455
460,201,454
470,201,456
480,201,456
490,201,452
500,200,454
510,201,455
520,202,454
530,201,455
540,201,455
550,201,455
560,202,456
570,202,454
580,202,455
590,202,456
600,201,456
610,201,455
620,201,455
630,201,456
640,201,456
650,201,455
660,201,455
670,202,455
680,203,456
690,203,454
700,202,457
710,202,456
720,202,455
730,201,455
740,202,456
750,202,455
760,201,455
770,201,455
780,202,455
790,201,454
800,199,455
810,202,456
820,202,456
830,202,455
840,201,454
850,202,456
860,201,455
870,202,456
880,201,454
890,202,455
900,201,457
910,201,455
920,202,455
930,201,456
940,201,455
950,200,456
960,201,456
970,202,456
980,201,456
990,201,456
