timestamp,MQ-135,MQ-7
0,186,408
10,183,404
20,184,403
30,185,402
40,184,401
50,185,402
60,184,401
70,182,400
80,183,400
90,184,400
100,184,400
110,184,399
120,184,399
130,184,401
140,185,399
150,185,398
160,186,400
170,186,401
180,186,401
190,186,402
200,183,399
210,185,402
220,185,401
230,185,401
240,186,402
250,188,401
260,186,403
270,186,402
280,187,402
290,187,400
300,186,403
310,186,402
320,187,402
330,185,404
340,188,401
350,187,402
360,186,403
370,187,401
380,184,402
390,186,403
400,185,402
410,186,404
420,186,402
430,186,405
440,187,404
450,187,404
460,187,405
470,187,403
480,188,404
490,187,403
500,187,404
510,187,404
520,188,403
530,188,403
540,188,404
550,188,406
560,188,404
570,188,405
580,188,405
590,188,404
600,187,402
610,187,405
620,187,403
630,188,405
640,187,404
650,189,405
660,189,405
670,189,404
680,189,406
690,189,407
700,188,405
710,189,407
720,189,406
730,189,406
740,189,406
750,190,407
760,190,406
770,190,406
780,190,407
790,190,407
800,189,406
810,190,409
820,191,406
830,191,409
840,190,407
850,190,408
860,191,408
870,191,406
880,191,409
890,191,407
900,190,407
910,191,407
920,191,408
930,192,408
940,191,406
950,192,408
960,192,409
970,192,409
980,192,407
990,192,408
