timestamp,MQ-135,MQ-7
0,273,460
10,273,457
20,272,458
30,273,458
40,273,459
50,275,457
60,273,456
70,272,456
80,273,459
90,273,458
100,271,458
110,273,456
120,272,458
130,272,455
140,271,455
150,272,457
160,272,457
170,273,456
180,271,456
190,273,457
200,272,457
210,273,456
220,271,457
230,272,457
240,273,456
250,273,456
260,272,457
270,270,458
280,273,456
290,275,455
300,272,456
310,272,456
320,273,457
330,273,457
340,273,458
350,276,457
360,273,455
370,271,456
380,272,457
390,272,457
400,272,456
410,271,457
420,275,455
430,270,456
440,271,456
450,272,455
460,273,456
470,273,455
480,272,456
490,272,456
500,273,455
510,272,455
520,272,456
530,271,454
540,271,455
550,271,455
560,275,454
570,271,455
580,272,456
590,271,455
600,272,453
610,272,455
620,273,455
630,271,454
640,272,456
650,273,455
660,271,453
670,274,456
680,273,454
690,272,454
700,272,452
710,272,453
720,272,452
730,272,452
740,272,452
750,273,453
760,273,453
770,272,453
780,273,453
790,272,453
800,271,451
810,276,453
820,275,454
830,271,453
840,271,454
850,272,453
860,273,452
870,272,452
880,272,453
890,272,452
900,272,453
910,272,454
920,273,452
930,274,454
940,271,452
950,271,452
960,272,452
970,272,452
980,270,452
990,273,453
