timestamp,MQ-135,MQ-7
0,196,451
10,197,449
20,198,448
30,199,448
40,197,446
50,197,447
60,196,446
70,196,447
80,196,445
90,198,447
100,196,448
110,196,445
120,196,446
130,197,447
140,194,446
150,197,446
160,195,447
170,197,446
180,195,447
190,197,447
200,197,448
210,197,445
220,196,448
230,197,446
240,197,446
250,197,447
260,197,446
270,198,445
280,196,446
290,195,447
300,198,445
310,197,446
320,195,447
330,197,447
340,197,446
350,198,447
360,197,448
370,198,447
380,198,447
390,199,445
400,197,446
410,197,445
420,197,447
430,196,445
440,197,445
450,197,448
460,196,446
470,196,447
480,197,446
490,195,447
500,196,445
510,196,446
520,196,445
530,196,447
540,197,445
550,195,446
560,195,445
570,196,445
580,196,446
590,197,444
600,197,446
610,197,445
620,196,446
630,197,445
640,196,446
650,196,446
660,197,445
670,196,446
680,197,445
690,196,445
700,197,445
710,196,446
720,194,447
730,196,446
740,196,444
750,196,446
760,196,444
770,196,446
780,196,445
790,195,445
800,196,446
810,196,444
820,196,443
830,196,443
840,197,445
850,200,446
860,194,446
870,197,445
880,196,446
890,195,445
900,196,445
910,197,445
920,197,443
930,196,445
940,196,442
950,196,446
960,196,445
970,198,445
980,196,445
990,197,444
