timestamp,MQ-135,MQ-7
0,212,346
10,209,356
20,211,357
30,211,358
40,211,359
50,211,358
60,211,360
70,211,358
80,210,359
90,210,360
100,211,360
110,212,360
120,209,360
130,211,360
140,210,361
150,213,360
160,211,361
170,213,360
180,211,361
190,211,362
200,212,360
210,211,359
220,211,361
230,209,359
240,211,362
250,211,360
260,211,362
270,211,362
280,212,360
290,211,362
300,216,361
310,211,362
320,211,361
330,212,361
340,212,362
350,212,360
360,212,361
370,211,361
380,212,361
390,210,360
400,211,358
410,211,360
420,212,361
430,212,360
440,211,361
450,213,361
460,212,362
470,212,361
480,212,359
490,211,361
500,211,359
510,212,363
520,210,363
530,211,361
540,213,361
550,207,361
560,213,362
570,213,360
580,212,360
590,211,363
600,210,359
610,212,362
620,212,361
630,212,361
640,212,361
650,211,359
660,213,361
670,211,360
680,211,360
690,214,361
700,213,360
710,213,361
720,212,362
730,211,360
740,210,361
750,213,360
760,213,362
770,212,360
780,211,358
790,212,362
800,211,359
810,212,361
820,212,361
830,211,360
840,213,360
850,212,359
860,209,361
870,213,360
880,213,360
890,213,360
900,211,358
910,211,360
920,213,359
930,211,359
940,212,360
950,211,358
960,211,361
970,211,361
980,211,359
990,211,362
