timestamp,MQ-135,MQ-7
0,262,453
10,261,451
20,259,453
30,261,452
40,262,452
50,262,452
60,260,451
70,259,451
80,260,451
90,256,450
100,257,449
110,261,450
120,261,450
130,261,449
140,264,450
150,259,450
160,260,450
170,257,450
180,261,452
190,260,452
200,262,449
210,262,451
220,260,451
230,261,450
240,261,451
250,262,451
260,262,450
270,260,450
280,260,449
290,260,451
300,260,450
310,262,450
320,260,451
330,260,448
340,260,449
350,261,451
360,260,451
370,261,451
380,260,449
390,260,451
400,261,451
410,261,450
420,261,451
430,261,449
440,260,451
450,262,449
460,262,451
470,260,450
480,257,449
490,261,450
500,261,450
510,261,449
520,262,451
530,261,449
540,260,449
550,262,448
560,261,448
570,261,450
580,259,450
590,261,450
600,261,450
610,261,450
620,260,449
630,261,450
640,261,451
650,261,449
660,261,450
670,259,448
680,260,448
690,260,450
700,263,449
710,260,450
720,260,449
730,264,448
740,261,450
750,261,451
760,262,450
770,262,449
780,259,450
790,261,451
800,261,450
810,262,449
820,261,450
830,262,449
840,261,449
850,261,449
860,261,450
870,263,451
880,261,451
890,258,448
900,261,450
910,262,449
920,258,448
930,261,448
940,260,450
950,261,451
960,259,451
970,261,451
980,260,451
990,260,449
