timestamp,MQ-135,MQ-7
0,267,454
10,266,453
20,266,452
30,267,453
40,264,452
50,265,454
60,268,454
70,267,453
80,266,453
90,263,455
100,266,453
110,267,452
120,267,451
130,265,451
140,265,450
150,265,454
160,266,452
170,265,453
180,266,452
190,266,452
200,266,452
210,267,454
220,267,452
230,266,450
240,266,450
250,266,453
260,266,452
270,266,451
280,266,451
290,268,453
300,266,452
310,263,452
320,266,451
330,265,452
340,265,451
350,269,451
360,265,452
370,266,452
380,266,450
390,263,454
400,268,450
410,265,452
420,264,451
430,265,453
440,266,451
450,266,452
460,267,450
470,269,453
480,265,450
490,266,452
500,266,452
510,266,451
520,266,452
530,266,453
540,266,450
550,264,453
560,263,451
570,263,452
580,263,451
590,266,451
600,263,452
610,264,451
620,263,451
630,265,453
640,264,452
650,265,453
660,264,451
670,267,453
680,263,452
690,264,452
700,264,451
710,269,451
720,264,450
730,265,452
740,266,452
750,264,451
760,264,451
770,263,454
780,266,453
790,264,453
800,264,455
810,262,452
820,264,453
830,265,454
840,266,452
850,265,454
860,266,453
870,265,453
880,265,454
890,262,453
900,264,452
910,265,453
920,266,452
930,264,453
940,265,452
950,265,454
960,264,452
970,267,452
980,265,453
990,265,453
