timestamp,MQ-135,MQ-7
0,568,489
10,569,482
20,569,482
30,568,483
40,571,482
50,567,481
60,569,482
70,570,481
80,569,481
90,570,481
100,569,481
110,569,481
120,571,480
130,573,480
140,570,481
150,568,480
160,569,481
170,570,482
180,569,480
190,569,481
200,569,481
210,570,481
220,570,481
230,571,481
240,570,481
250,569,480
260,570,482
270,572,481
280,571,480
290,570,480
300,569,481
310,570,480
320,569,480
330,571,480
340,571,480
350,571,481
360,568,479
370,571,483
380,576,482
390,576,480
400,573,481
410,571,482
420,572,481
430,572,482
440,572,481
450,571,482
460,571,482
470,572,481
480,574,481
490,574,483
500,573,480
510,574,481
520,575,481
530,574,481
540,573,482
550,573,481
560,572,482
570,576,482
580,574,481
590,574,481
600,574,480
610,574,481
620,576,481
630,573,481
640,574,481
650,573,480
660,572,481
670,575,482
680,574,482
690,574,481
700,574,481
710,573,481
720,575,482
730,576,480
740,573,482
750,574,481
760,573,481
770,573,480
780,575,481
790,576,482
800,575,482
810,576,481
820,576,482
830,576,481
840,576,483
850,575,482
860,575,481
870,573,481
880,577,482
890,576,481
900,575,482
910,578,482
920,577,480
930,575,480
940,576,481
950,575,482
960,574,482
970,574,482
980,573,479
990,574,482
