timestamp,MQ-135,MQ-7
0,220,349
10,221,355
20,220,358
30,219,359
40,220,359
50,221,360
60,220,361
70,219,360
80,220,361
90,220,360
100,218,359
110,219,360
120,219,360
130,219,361
140,219,361
150,221,361
160,218,360
170,218,362
180,222,362
190,220,361
200,221,362
210,221,362
220,221,363
230,221,363
240,221,362
250,221,362
260,221,363
270,219,362
280,222,361
290,222,362
300,219,362
310,221,362
320,222,360
330,223,361
340,222,362
350,219,360
360,221,361
370,222,359
380,222,361
390,222,362
400,222,361
410,220,362
420,219,361
430,221,362
440,221,361
450,222,359
460,220,361
470,221,362
480,221,362
490,222,361
500,222,360
510,222,362
520,221,360
530,220,360
540,220,363
550,221,360
560,221,362
570,222,360
580,222,363
590,220,362
600,222,362
610,222,359
620,222,360
630,222,362
640,221,360
650,222,361
660,222,361
670,223,362
680,222,361
690,223,362
700,223,361
710,220,361
720,221,362
730,223,361
740,222,362
750,221,362
760,222,363
770,222,362
780,219,363
790,221,361
800,220,360
810,221,360
820,221,360
830,221,362
840,221,360
850,221,361
860,221,362
870,220,361
880,222,361
890,221,362
900,221,362
910,219,361
920,220,363
930,221,361
940,221,362
950,221,362
960,221,361
970,222,360
980,223,362
990,223,361
