timestamp,MQ-135,MQ-7
0,539,489
10,540,479
20,539,478
30,540,479
40,540,478
50,542,479
60,540,478
70,540,478
80,540,478
90,539,476
100,537,477
110,540,478
120,539,477
130,540,477
140,538,477
150,539,477
160,538,477
170,537,478
180,537,479
190,539,479
200,539,477
210,539,478
220,543,478
230,537,479
240,539,479
250,538,477
260,537,478
270,537,476
280,538,477
290,535,478
300,540,477
310,540,479
320,540,477
330,539,478
340,536,479
350,540,478
360,536,478
370,540,478
380,539,478
390,538,478
400,537,476
410,538,478
420,539,478
430,541,479
440,536,478
450,539,477
460,539,477
470,538,479
480,539,478
490,538,479
500,538,478
510,538,477
520,539,478
530,543,478
540,537,478
550,539,479
560,539,479
570,536,476
580,538,478
590,539,478
600,537,477
610,536,480
620,538,479
630,536,478
640,540,477
650,538,479
660,538,478
670,538,476
680,538,478
690,539,479
700,534,476
710,537,478
720,538,476
730,539,478
740,536,478
750,540,479
760,539,479
770,540,477
780,539,479
790,540,479
800,537,475
810,539,478
820,538,478
830,539,479
840,539,478
850,538,477
860,539,479
870,538,478
880,543,479
890,540,479
900,537,477
910,539,479
920,536,476
930,539,477
940,541,479
950,539,477
960,539,479
970,536,476
980,539,479
990,539,479
