timestamp,MQ-135,MQ-7
0,216,340
10,215,348
20,215,350
30,215,350
40,215,349
50,216,350
60,215,350
70,216,351
80,215,350
90,215,351
100,213,352
110,216,352
120,216,352
130,216,352
140,215,351
150,215,352
160,215,349
170,216,351
180,216,351
190,216,351
200,217,352
210,214,353
220,214,351
230,216,352
240,216,352
250,214,353
260,217,354
270,215,354
280,215,352
290,214,353
300,215,353
310,216,354
320,215,354
330,215,355
340,216,352
350,215,353
360,216,353
370,215,352
380,217,354
390,214,353
400,215,354
410,216,353
420,215,353
430,214,354
440,216,355
450,217,354
460,215,354
470,215,353
480,214,354
490,217,353
500,214,354
510,215,353
520,215,354
530,214,352
540,214,353
550,215,353
560,214,352
570,218,353
580,216,353
590,214,352
600,214,354
610,215,353
620,214,354
630,215,353
640,214,353
650,215,354
660,214,354
670,215,352
680,214,353
690,214,354
700,213,354
710,215,354
720,215,354
730,216,355
740,215,353
750,214,352
760,215,353
770,213,355
780,214,352
790,215,353
800,214,354
810,214,355
820,214,354
830,214,354
840,213,354
850,214,355
860,216,355
870,213,352
880,216,354
890,215,352
900,216,353
910,214,355
920,214,354
930,214,355
940,215,351
950,214,355
960,214,355
970,215,352
980,217,352
990,215,353
