timestamp,MQ-135,MQ-7
0,235,345
10,233,353
20,234,354
30,235,357
40,235,357
50,234,355
60,235,357
70,235,359
80,233,358
90,234,358
100,234,358
110,235,359
120,234,358
130,234,359
140,235,358
150,235,358
160,237,359
170,235,358
180,234,358
190,235,360
200,234,358
210,235,361
220,236,360
230,236,357
240,235,359
250,235,359
260,236,361
270,234,357
280,234,359
290,236,359
300,233,359
310,233,361
320,233,359
330,234,359
340,234,361
350,235,361
360,235,360
370,237,362
380,233,362
390,234,362
400,237,361
410,235,360
420,234,360
430,234,360
440,235,361
450,234,360
460,235,361
470,235,360
480,234,360
490,235,361
500,235,360
510,235,360
520,236,360
530,235,361
540,235,361
550,236,359
560,235,361
570,235,360
580,235,359
590,235,359
600,235,359
610,235,360
620,236,360
630,235,360
640,236,361
650,236,358
660,234,361
670,235,362
680,235,360
690,235,360
700,234,359
710,235,360
720,236,359
730,234,360
740,234,361
750,235,361
760,234,362
770,235,362
780,235,360
790,235,362
800,234,361
810,235,360
820,235,360
830,235,360
840,235,360
850,235,360
860,235,360
870,235,358
880,237,361
890,237,362
900,235,359
910,236,362
920,235,360
930,236,362
940,235,360
950,236,360
960,236,361
970,237,361
980,235,360
990,233,360
