timestamp,MQ-135,MQ-7
0,520,489
10,520,480
20,518,478
30,520,477
40,520,478
50,519,478
60,520,479
70,521,479
80,520,478
90,521,478
100,521,477
110,521,479
120,519,478
130,520,477
140,522,478
150,520,477
160,521,479
170,522,477
180,521,477
190,521,478
200,521,478
210,522,478
220,521,479
230,522,478
240,523,478
250,519,477
260,522,479
270,522,478
280,521,478
290,522,479
300,522,477
310,522,478
320,520,478
330,521,478
340,521,478
350,521,478
360,522,478
370,522,478
380,521,478
390,523,479
400,527,477
410,523,476
420,524,475
430,523,474
440,527,475
450,525,475
460,526,474
470,525,475
480,522,475
490,524,477
500,525,475
510,525,477
520,527,477
530,524,475
540,527,475
550,526,476
560,526,476
570,528,477
580,527,477
590,525,475
600,527,478
610,526,477
620,524,476
630,528,478
640,528,476
650,526,474
660,524,476
670,528,477
680,527,475
690,529,476
700,528,474
710,528,474
720,529,474
730,531,478
740,527,479
750,528,479
760,529,478
770,525,476
780,529,475
790,528,477
800,529,475
810,526,478
820,529,477
830,529,477
840,528,477
850,533,477
860,526,478
870,525,475
880,527,475
890,530,474
900,532,475
910,530,476
920,526,477
930,531,475
940,528,477
950,531,475
960,530,476
970,529,473
980,530,474
990,531,475
