timestamp,MQ-135,MQ-7
0,404,477
10,402,465
20,402,467
30,405,467
40,405,467
50,404,467
60,405,465
70,403,465
80,408,464
90,404,463
100,403,465
110,404,464
120,404,465
130,406,465
140,405,464
150,404,463
160,403,464
170,405,465
180,403,465
190,405,464
200,404,464
210,404,462
220,403,465
230,403,462
240,405,464
250,406,465
260,405,463
270,403,464
280,405,466
290,405,465
300,403,464
310,405,464
320,405,465
330,407,464
340,406,463
350,403,465
360,405,463
370,405,464
380,405,465
390,404,465
400,406,464
410,403,465
420,405,464
430,405,465
440,405,465
450,408,467
460,405,466
470,404,464
480,404,465
490,405,467
500,403,463
510,406,461
520,405,459
530,406,460
540,407,459
550,406,459
560,405,461
570,404,460
580,405,461
590,405,459
600,405,460
610,404,460
620,405,462
630,402,460
640,406,462
650,407,461
660,407,462
670,405,461
680,405,461
690,403,461
700,405,463
710,402,460
720,403,461
730,405,463
740,404,463
750,405,461
760,403,461
770,403,462
780,403,462
790,404,461
800,405,460
810,404,459
820,404,462
830,404,461
840,404,462
850,403,462
860,405,463
870,405,464
880,403,463
890,405,463
900,405,463
910,405,464
920,404,464
930,405,464
940,405,463
950,401,463
960,402,463
970,404,463
980,402,463
990,402,464
