timestamp,MQ-135,MQ-7
0,297,456
10,298,454
20,297,453
30,295,453
40,295,454
50,295,453
60,296,452
70,296,454
80,295,454
90,297,454
100,293,454
110,296,454
120,298,453
130,295,451
140,296,454
150,292,453
160,295,454
170,295,454
180,295,452
190,295,453
200,297,454
210,298,453
220,295,453
230,295,453
240,294,453
250,294,454
260,295,454
270,295,454
280,296,452
290,296,451
300,295,454
310,295,452
320,298,452
330,295,455
340,295,452
350,291,452
360,297,452
370,295,451
380,295,450
390,295,450
400,297,452
410,296,448
420,294,451
430,295,449
440,294,448
450,298,449
460,294,448
470,295,449
480,295,450
490,296,451
500,292,450
510,294,451
520,292,451
530,295,452
540,293,452
550,300,452
560,296,452
570,292,450
580,295,450
590,294,452
600,294,455
610,295,453
620,293,455
630,294,454
640,294,454
650,295,455
660,295,455
670,294,455
680,294,455
690,295,456
700,294,457
710,294,456
720,294,455
730,293,455
740,293,455
750,294,454
760,294,455
770,293,455
780,297,455
790,293,456
800,290,455
810,294,456
820,294,456
830,293,455
840,293,456
850,293,456
860,293,456
870,294,454
880,294,452
890,294,451
900,291,451
910,294,449
920,292,449
930,293,449
940,294,451
950,293,450
960,292,448
970,294,450
980,290,450
990,293,449
