timestamp,MQ-135,MQ-7
0,328,468
10,326,463
20,328,463
30,326,463
40,325,463
50,325,463
60,323,462
70,325,462
80,325,464
90,325,463
100,324,462
110,326,461
120,325,463
130,324,462
140,323,461
150,325,461
160,325,462
170,324,461
180,321,460
190,325,463
200,325,461
210,326,463
220,325,462
230,325,462
240,324,463
250,326,463
260,325,461
270,324,462
280,325,462
290,323,461
300,324,463
310,324,462
320,323,462
330,324,462
340,323,460
350,324,461
360,324,461
370,322,461
380,324,462
390,324,463
400,323,463
410,323,462
420,323,462
430,323,461
440,323,461
450,322,463
460,322,460
470,322,461
480,322,460
490,323,462
500,322,462
510,323,461
520,325,461
530,324,462
540,323,460
550,322,460
560,323,461
570,323,462
580,323,462
590,323,462
600,323,461
610,323,460
620,323,462
630,323,463
640,325,460
650,323,461
660,322,461
670,320,460
680,321,461
690,322,460
700,323,463
710,322,459
720,324,462
730,322,462
740,323,460
750,323,462
760,323,461
770,323,462
780,324,462
790,322,461
800,322,461
810,322,461
820,322,462
830,322,463
840,323,462
850,322,460
860,321,461
870,322,462
880,321,461
890,323,462
900,321,460
910,321,461
920,321,461
930,320,459
940,320,461
950,320,460
960,322,460
970,322,462
980,323,461
990,321,461
