timestamp,MQ-135,MQ-7
0,584,490
10,583,485
20,584,481
30,582,484
40,582,484
50,583,484
60,583,484
70,584,481
80,584,483
90,582,482
100,582,482
110,584,482
120,585,481
130,584,485
140,585,482
150,585,483
160,585,483
170,585,483
180,584,483
190,584,481
200,584,482
210,584,483
220,585,483
230,585,483
240,586,483
250,585,483
260,585,482
270,585,484
280,584,483
290,585,484
300,585,482
310,586,482
320,585,481
330,586,484
340,584,483
350,585,483
360,586,482
370,586,481
380,587,484
390,585,483
400,581,483
410,586,481
420,586,482
430,583,482
440,583,483
450,585,483
460,584,481
470,583,478
480,586,478
490,586,479
500,586,481
510,587,479
520,589,480
530,589,478
540,588,480
550,585,481
560,587,478
570,587,479
580,587,480
590,587,478
600,587,479
610,584,479
620,586,479
630,588,478
640,586,477
650,588,478
660,587,478
670,588,477
680,587,479
690,586,478
700,587,482
710,586,477
720,585,475
730,588,477
740,588,477
750,588,476
760,588,478
770,588,478
780,586,476
790,584,474
800,583,478
810,587,477
820,586,477
830,587,478
840,590,478
850,587,478
860,587,479
870,587,479
880,587,478
890,588,478
900,587,479
910,585,479
920,589,478
930,585,477
940,587,477
950,587,478
960,587,479
970,587,478
980,587,478
990,587,477
