timestamp,MQ-135,MQ-7
0,213,345
10,214,353
20,215,354
30,214,356
40,214,358
50,213,358
60,214,359
70,214,359
80,213,359
90,213,360
100,214,358
110,213,360
120,216,360
130,215,359
140,214,361
150,214,361
160,214,361
170,214,361
180,213,358
190,214,361
200,214,361
210,215,361
220,214,360
230,214,360
240,214,359
250,212,362
260,214,362
270,215,359
280,214,361
290,217,360
300,214,359
310,213,361
320,215,361
330,217,360
340,215,361
350,216,359
360,213,361
370,213,360
380,215,359
390,214,361
400,216,359
410,215,360
420,217,360
430,217,359
440,218,362
450,214,358
460,214,362
470,215,360
480,214,360
490,214,360
500,217,360
510,215,362
520,214,358
530,214,359
540,217,360
550,214,359
560,215,360
570,215,361
580,215,360
590,215,360
600,215,359
610,214,360
620,215,359
630,217,359
640,216,361
650,217,360
660,217,360
670,216,361
680,215,359
690,213,359
700,215,359
710,215,362
720,214,359
730,216,360
740,213,361
750,215,361
760,214,362
770,215,360
780,215,360
790,214,361
800,215,358
810,216,360
820,216,362
830,217,361
840,217,360
850,216,361
860,213,360
870,217,362
880,214,362
890,216,360
900,215,360
910,216,360
920,216,362
930,215,362
940,215,361
950,213,360
960,215,361
970,216,360
980,215,360
990,216,362
