timestamp,MQ-135,MQ-7
0,201,471
10,201,467
20,202,465
30,201,467
40,202,466
50,201,467
60,199,464
70,200,467
80,201,465
90,201,465
100,203,466
110,201,465
120,199,465
130,199,464
140,201,465
150,202,465
160,201,464
170,203,464
180,200,466
190,201,464
200,201,464
210,200,465
220,201,466
230,200,465
240,201,465
250,200,465
260,200,462
270,203,462
280,201,463
290,199,462
300,200,464
310,200,462
320,199,463
330,201,463
340,200,461
350,199,464
360,200,464
370,200,463
380,201,463
390,199,465
400,199,462
410,199,465
420,199,464
430,200,463
440,204,463
450,198,462
460,199,462
470,201,463
480,199,464
490,198,464
500,198,463
510,199,463
520,199,464
530,199,463
540,200,463
550,200,462
560,200,463
570,199,462
580,200,464
590,199,462
600,199,462
610,199,464
620,199,463
630,202,463
640,199,462
650,200,463
660,203,461
670,200,463
680,200,461
690,199,464
700,201,463
710,200,462
720,200,463
730,200,463
740,198,463
750,200,463
760,199,462
770,199,464
780,199,464
790,200,463
800,198,464
810,198,463
820,199,462
830,201,461
840,198,461
850,199,462
860,200,463
870,199,464
880,198,463
890,199,462
900,199,461
910,199,460
920,200,463
930,199,462
940,198,463
950,201,463
960,199,463
970,199,463
980,199,461
990,199,461
