timestamp,MQ-135,MQ-7
0,313,465
10,312,463
20,313,461
30,311,461
40,312,460
50,313,459
60,312,461
70,312,459
80,310,461
90,311,457
100,312,460
110,310,459
120,310,459
130,310,460
140,312,458
150,311,459
160,312,460
170,312,460
180,312,460
190,310,459
200,313,459
210,313,459
220,312,458
230,311,460
240,314,459
250,311,459
260,312,459
270,312,460
280,311,458
290,310,458
300,311,457
310,311,457
320,311,459
330,313,458
340,311,459
350,312,458
360,310,457
370,311,458
380,310,457
390,310,458
400,307,457
410,310,458
420,311,457
430,310,459
440,310,456
450,311,459
460,310,458
470,310,458
480,309,456
490,311,457
500,311,457
510,310,459
520,310,456
530,312,458
540,310,457
550,310,458
560,310,456
570,308,456
580,309,457
590,310,457
600,308,457
610,309,456
620,309,457
630,310,458
640,311,457
650,310,457
660,309,457
670,310,455
680,309,457
690,309,458
700,308,456
710,309,456
720,309,458
730,308,457
740,309,455
750,308,457
760,308,457
770,309,456
780,309,458
790,311,458
800,308,456
810,309,456
820,309,457
830,308,457
840,307,458
850,308,456
860,308,457
870,306,456
880,307,459
890,308,457
900,307,458
910,307,456
920,307,457
930,308,456
940,310,459
950,307,457
960,308,457
970,308,456
980,308,459
990,308,456
