timestamp,MQ-135,MQ-7
0,203,459
10,203,459
20,203,457
30,203,458
40,203,454
50,202,458
60,204,456
70,202,456
80,202,457
90,203,457
100,203,456
110,203,457
120,202,456
130,203,457
140,203,456
150,203,457
160,203,456
170,203,455
180,204,457
190,204,457
200,204,455
210,204,455
220,204,454
230,203,456
240,203,456
250,204,454
260,202,454
270,202,452
280,202,454
290,202,454
300,202,452
310,202,453
320,202,453
330,202,454
340,203,454
350,203,454
360,203,453
370,203,451
380,201,453
390,203,453
400,203,454
410,200,453
420,202,453
430,203,453
440,202,452
450,202,454
460,203,454
470,202,453
480,202,453
490,200,454
500,202,452
510,202,455
520,202,453
530,204,454
540,202,452
550,200,453
560,203,454
570,203,453
580,202,454
590,202,452
600,203,454
610,202,455
620,203,452
630,202,455
640,202,453
650,201,453
660,202,453
670,204,452
680,201,452
690,202,453
700,200,453
710,202,455
720,202,453
730,202,454
740,202,454
750,202,452
760,202,455
770,204,453
780,202,454
790,202,453
800,202,453
810,203,453
820,202,453
830,202,455
840,202,452
850,202,455
860,203,455
870,201,454
880,202,454
890,201,452
900,202,453
910,202,454
920,199,452
930,202,453
940,202,452
950,200,454
960,201,452
970,199,454
980,202,454
990,200,453
