timestamp,MQ-135,MQ-7
0,215,347
10,214,353
20,216,355
30,215,358
40,214,357
50,215,357
60,215,358
70,213,356
80,215,358
90,215,359
100,215,358
110,214,360
120,215,357
130,214,357
140,214,357
150,214,356
160,215,357
170,215,356
180,215,359
190,215,357
200,214,359
210,215,359
220,215,359
230,217,361
240,215,360
250,214,359
260,215,360
270,218,357
280,212,360
290,214,359
300,216,359
310,214,358
320,214,361
330,214,359
340,215,360
350,214,358
360,214,357
370,214,356
380,214,358
390,214,358
400,213,356
410,214,358
420,217,358
430,215,359
440,216,357
450,213,358
460,215,359
470,216,357
480,214,358
490,213,358
500,215,358
510,215,358
520,214,357
530,214,358
540,215,358
550,214,357
560,214,359
570,215,355
580,215,358
590,214,356
600,214,358
610,214,358
620,215,357
630,214,358
640,214,357
650,213,358
660,213,358
670,212,356
680,214,358
690,213,356
700,215,357
710,213,359
720,213,357
730,213,359
740,214,359
750,213,357
760,214,358
770,213,356
780,214,356
790,215,357
800,213,356
810,215,357
820,213,357
830,214,357
840,213,358
850,216,359
860,213,357
870,213,357
880,215,358
890,213,359
900,214,357
910,214,360
920,214,359
930,215,360
940,215,357
950,214,359
960,214,358
970,215,356
980,215,359
990,215,359
