timestamp,MQ-135,MQ-7
0,513,459
10,517,459
20,515,456
30,517,457
40,516,458
50,517,459
60,516,457
70,515,458
80,516,456
90,514,457
100,515,456
110,514,455
120,514,458
130,514,457
140,514,457
150,513,456
160,514,457
170,514,457
180,513,457
190,513,457
200,512,456
210,511,456
220,511,455
230,512,455
240,513,457
250,510,457
260,510,456
270,510,457
280,511,458
290,510,456
300,510,456
310,509,454
320,510,457
330,510,455
340,509,456
350,507,453
360,508,456
370,509,457
380,508,456
390,507,456
400,508,455
410,504,456
420,508,454
430,508,454
440,506,458
450,507,455
460,506,457
470,506,455
480,506,456
490,506,455
500,503,453
510,504,455
520,503,456
530,503,454
540,503,455
550,505,455
560,504,455
570,503,456
580,503,455
590,503,456
600,503,455
610,503,455
620,502,456
630,502,454
640,503,454
650,502,455
660,500,455
670,500,454
680,501,455
690,500,456
700,501,453
710,500,455
720,499,454
730,500,454
740,500,455
750,499,455
760,497,455
770,498,455
780,497,454
790,496,454
800,498,452
810,497,454
820,494,453
830,496,453
840,494,453
850,495,453
860,494,453
870,496,455
880,496,452
890,494,454
900,495,454
910,495,454
920,495,454
930,494,453
940,495,454
950,494,453
960,496,453
970,493,453
980,492,453
990,495,455
