timestamp,MQ-135,MQ-7
0,234,340
10,235,351
20,235,352
30,236,354
40,236,356
50,236,355
60,235,356
70,235,357
80,236,357
90,234,356
100,236,356
110,236,356
120,236,359
130,236,354
140,236,357
150,234,356
160,234,358
170,235,359
180,235,357
190,235,359
200,235,357
210,234,358
220,236,357
230,236,357
240,236,358
250,236,358
260,235,358
270,236,357
280,236,358
290,236,359
300,237,360
310,236,358
320,236,359
330,236,359
340,236,360
350,236,360
360,235,359
370,236,358
380,236,359
390,235,359
400,236,359
410,236,359
420,236,359
430,236,360
440,235,359
450,236,358
460,235,357
470,236,359
480,235,358
490,235,360
500,235,360
510,236,361
520,235,358
530,236,357
540,235,357
550,235,360
560,236,358
570,236,360
580,235,358
590,235,360
600,234,358
610,234,359
620,235,358
630,236,359
640,236,359
650,235,359
660,236,358
670,236,357
680,236,359
690,236,359
700,235,357
710,235,358
720,234,359
730,235,359
740,234,359
750,235,359
760,235,359
770,236,358
780,235,358
790,234,357
800,236,358
810,236,358
820,234,358
830,235,357
840,235,358
850,235,360
860,236,358
870,235,359
880,234,360
890,235,359
900,236,360
910,235,357
920,236,359
930,236,358
940,236,358
950,236,359
960,234,359
970,233,357
980,236,358
990,236,361
