timestamp,MQ-135,MQ-7
0,242,450
10,243,450
20,241,450
30,241,448
40,240,447
50,241,447
60,241,449
70,241,446
80,243,448
90,239,447
100,242,448
110,243,449
120,241,446
130,241,448
140,239,447
150,241,449
160,241,446
170,241,447
180,241,448
190,241,447
200,241,446
210,242,447
220,243,447
230,242,446
240,241,447
250,241,446
260,241,446
270,243,447
280,242,446
290,241,447
300,241,447
310,241,448
320,241,446
330,241,446
340,241,445
350,241,446
360,241,447
370,241,446
380,242,446
390,241,446
400,241,447
410,241,447
420,241,447
430,241,446
440,241,446
450,241,447
460,241,445
470,241,445
480,241,446
490,241,447
500,241,444
510,241,447
520,241,444
530,241,446
540,241,445
550,241,446
560,241,444
570,240,444
580,241,446
590,240,445
600,240,447
610,241,446
620,241,446
630,241,447
640,241,445
650,241,447
660,241,446
670,241,447
680,240,446
690,241,447
700,241,445
710,241,446
720,239,446
730,241,446
740,241,445
750,240,446
760,241,445
770,240,446
780,241,445
790,240,446
800,241,445
810,241,447
820,240,445
830,243,446
840,241,446
850,240,447
860,242,445
870,241,446
880,242,445
890,243,445
900,240,444
910,240,445
920,241,443
930,240,445
940,238,446
950,241,445
960,240,446
970,241,443
980,241,446
990,241,446
