timestamp,MQ-135,MQ-7
0,225,342
10,225,349
20,225,353
30,225,354
40,224,353
50,225,354
60,224,354
70,225,354
80,225,352
90,225,353
100,225,353
110,225,352
120,225,354
130,223,354
140,224,355
150,226,353
160,226,354
170,225,353
180,226,355
190,225,354
200,224,353
210,225,356
220,227,357
230,225,355
240,226,358
250,226,359
260,226,357
270,226,357
280,225,358
290,225,357
300,224,358
310,225,357
320,224,356
330,223,357
340,225,358
350,225,356
360,224,358
370,225,357
380,225,356
390,225,357
400,225,356
410,225,356
420,224,357
430,225,357
440,224,356
450,225,357
460,223,357
470,226,357
480,224,356
490,226,357
500,225,358
510,224,355
520,225,356
530,225,356
540,223,355
550,223,358
560,223,357
570,225,356
580,225,357
590,224,356
600,224,357
610,224,355
620,224,357
630,224,358
640,224,356
650,225,357
660,224,356
670,223,357
680,223,356
690,224,357
700,225,357
710,224,355
720,224,355
730,223,356
740,224,355
750,223,356
760,224,356
770,224,355
780,223,354
790,223,356
800,222,354
810,224,356
820,223,354
830,224,354
840,222,355
850,223,356
860,223,355
870,222,354
880,223,355
890,224,354
900,225,356
910,223,357
920,223,356
930,224,356
940,223,356
950,223,356
960,223,354
970,223,355
980,224,355
990,224,355
