timestamp,MQ-135,MQ-7
0,203,405
10,201,404
20,202,404
30,200,401
40,200,403
50,200,402
60,200,402
70,202,401
80,201,402
90,200,401
100,201,402
110,201,402
120,200,400
130,200,402
140,200,403
150,200,400
160,200,402
170,200,402
180,199,400
190,204,403
200,201,402
210,201,404
220,202,401
230,202,401
240,202,404
250,202,400
260,202,404
270,202,402
280,201,403
290,202,405
300,202,402
310,202,404
320,199,401
330,203,402
340,200,403
350,202,403
360,203,402
370,202,403
380,202,402
390,202,405
400,201,403
410,202,404
420,202,402
430,202,402
440,202,403
450,202,402
460,202,403
470,201,403
480,202,403
490,202,402
500,203,402
510,202,402
520,202,401
530,202,402
540,200,403
550,202,401
560,202,404
570,202,402
580,203,404
590,202,404
600,202,403
610,202,404
620,204,400
630,203,403
640,202,404
650,201,401
660,201,401
670,200,401
680,202,402
690,202,403
700,203,402
710,202,402
720,202,403
730,202,403
740,203,403
750,203,401
760,202,403
770,201,403
780,202,402
790,203,404
800,202,402
810,203,403
820,202,403
830,203,402
840,202,404
850,201,401
860,201,403
870,202,402
880,205,403
890,203,403
900,200,403
910,203,404
920,201,402
930,203,401
940,201,403
950,200,401
960,202,402
970,202,402
980,201,403
990,203,403
