timestamp,MQ-135,MQ-7
0,249,458
10,251,454
20,249,453
30,250,454
40,250,452
50,249,452
60,248,453
70,249,451
80,250,453
90,250,452
100,249,453
110,249,452
120,249,451
130,246,452
140,248,451
150,250,451
160,248,451
170,248,449
180,249,449
190,248,452
200,249,451
210,250,452
220,251,452
230,249,450
240,249,451
250,249,450
260,251,452
270,252,450
280,250,451
290,251,448
300,252,452
310,252,450
320,251,451
330,250,451
340,253,449
350,251,450
360,252,449
370,253,449
380,251,451
390,250,449
400,251,449
410,251,451
420,252,449
430,251,450
440,251,450
450,251,451
460,250,449
470,255,449
480,251,450
490,251,450
500,249,450
510,251,449
520,251,448
530,251,451
540,250,449
550,252,451
560,249,448
570,250,451
580,251,449
590,248,448
600,250,448
610,250,450
620,250,448
630,250,450
640,251,449
650,250,450
660,251,449
670,250,448
680,250,449
690,250,449
700,250,448
710,250,448
720,251,447
730,250,450
740,250,448
750,249,447
760,250,450
770,250,448
780,250,449
790,249,448
800,249,449
810,250,449
820,250,448
830,251,451
840,250,448
850,249,450
860,250,449
870,250,449
880,250,449
890,250,448
900,248,446
910,249,448
920,249,448
930,250,450
940,250,449
950,249,448
960,250,448
970,250,448
980,249,448
990,249,449
