timestamp,MQ-135,MQ-7
0,213,440
10,212,441
20,211,440
30,212,441
40,212,440
50,211,440
60,211,441
70,214,439
80,211,441
90,211,439
100,211,440
110,210,437
120,211,439
130,209,440
140,213,440
150,212,439
160,212,441
170,212,440
180,212,442
190,213,440
200,213,441
210,212,440
220,213,440
230,213,441
240,212,441
250,210,439
260,212,439
270,212,440
280,213,440
290,213,441
300,212,441
310,213,439
320,211,441
330,213,441
340,211,440
350,212,440
360,213,438
370,212,441
380,213,440
390,212,439
400,212,439
410,213,440
420,212,440
430,213,441
440,212,440
450,212,440
460,212,439
470,210,441
480,212,439
490,212,440
500,212,440
510,213,441
520,213,441
530,212,440
540,213,441
550,210,441
560,212,439
570,212,439
580,212,439
590,211,438
600,212,441
610,214,439
620,212,440
630,211,438
640,211,439
650,211,440
660,211,439
670,212,437
680,211,440
690,211,439
700,212,439
710,212,440
720,211,441
730,213,439
740,212,439
750,214,440
760,213,438
770,213,440
780,213,440
790,212,439
800,212,441
810,213,440
820,213,441
830,212,442
840,212,438
850,212,440
860,212,441
870,214,439
880,214,440
890,213,441
900,212,441
910,213,440
920,213,441
930,214,441
940,215,440
950,213,442
960,212,439
970,212,440
980,213,440
990,213,439
