timestamp,MQ-135,MQ-7
0,194,352
10,194,360
20,194,361
30,195,361
40,194,360
50,194,361
60,195,359
70,194,360
80,195,360
90,193,361
100,194,360
110,194,361
120,196,361
130,194,360
140,194,361
150,194,359
160,196,361
170,194,361
180,195,361
190,196,361
200,194,360
210,195,360
220,194,362
230,195,362
240,195,362
250,195,361
260,194,360
270,196,360
280,195,361
290,195,362
300,195,362
310,195,362
320,195,361
330,195,361
340,197,361
350,195,363
360,196,361
370,196,362
380,194,361
390,195,360
400,194,360
410,195,363
420,197,362
430,196,362
440,199,362
450,195,361
460,197,362
470,194,363
480,195,360
490,196,361
500,197,362
510,195,363
520,196,362
530,197,361
540,196,360
550,196,362
560,196,362
570,198,362
580,196,362
590,196,363
600,196,362
610,196,361
620,193,361
630,198,364
640,198,361
650,197,361
660,197,360
670,195,361
680,196,361
690,197,360
700,196,361
710,196,361
720,198,360
730,197,360
740,198,362
750,198,360
760,198,361
770,197,361
780,199,362
790,198,362
800,199,362
810,197,361
820,197,362
830,198,363
840,198,365
850,198,362
860,198,364
870,199,364
880,198,364
890,198,362
900,198,365
910,198,363
920,198,364
930,198,364
940,199,363
950,198,363
960,199,364
970,199,364
980,198,363
990,198,363
