timestamp,MQ-135,MQ-7
0,590,487
10,589,481
20,590,481
30,589,480
40,591,481
50,591,481
60,589,479
70,592,480
80,589,480
90,590,481
100,591,480
110,591,479
120,591,479
130,592,479
140,590,479
150,590,480
160,591,479
170,590,481
180,591,481
190,591,480
200,591,481
210,591,480
220,592,480
230,594,478
240,594,478
250,591,481
260,591,480
270,590,478
280,590,480
290,590,480
300,592,479
310,589,479
320,589,479
330,590,479
340,591,479
350,588,480
360,589,479
370,590,479
380,590,479
390,589,477
400,589,479
410,590,479
420,589,477
430,590,477
440,590,478
450,589,479
460,588,476
470,589,479
480,590,478
490,588,478
500,590,476
510,590,478
520,590,477
530,590,476
540,590,478
550,590,477
560,591,476
570,589,479
580,590,476
590,590,477
600,590,477
610,590,476
620,590,478
630,591,478
640,589,477
650,590,476
660,591,476
670,591,476
680,591,477
690,590,476
700,590,477
710,591,476
720,591,475
730,591,477
740,589,477
750,593,476
760,593,475
770,589,476
780,590,474
790,590,477
800,594,475
810,591,476
820,590,477
830,592,475
840,592,477
850,592,476
860,593,474
870,593,478
880,591,477
890,591,474
900,593,477
910,592,477
920,592,475
930,591,476
940,591,477
950,592,475
960,591,475
970,593,477
980,592,477
990,591,475
