timestamp,MQ-135,MQ-7
0,361,471
10,360,465
20,361,467
30,361,467
40,361,466
50,361,466
60,360,466
70,361,464
80,359,465
90,360,465
100,359,466
110,359,464
120,359,465
130,359,465
140,359,466
150,357,464
160,359,463
170,359,464
180,357,464
190,358,464
200,357,463
210,358,464
220,360,464
230,357,463
240,357,465
250,356,463
260,356,461
270,355,462
280,356,462
290,355,463
300,357,462
310,359,463
320,356,462
330,356,462
340,356,463
350,356,463
360,356,464
370,356,463
380,355,463
390,357,463
400,356,464
410,355,463
420,355,463
430,354,463
440,355,464
450,354,464
460,353,463
470,354,462
480,354,462
490,352,462
500,355,461
510,353,462
520,355,462
530,354,463
540,354,463
550,355,463
560,354,461
570,355,463
580,353,462
590,352,460
600,354,462
610,354,462
620,353,462
630,353,462
640,353,463
650,354,462
660,353,461
670,352,463
680,352,462
690,352,463
700,352,461
710,351,463
720,355,462
730,352,463
740,350,464
750,353,462
760,350,463
770,352,462
780,349,463
790,351,463
800,350,463
810,350,463
820,351,463
830,351,463
840,351,463
850,352,463
860,349,462
870,351,464
880,350,463
890,350,463
900,350,463
910,349,462
920,349,463
930,350,462
940,348,463
950,347,462
960,348,462
970,350,464
980,349,463
990,348,463
