timestamp,MQ-135,MQ-7
0,195,427
10,195,430
20,196,432
30,196,431
40,196,430
50,195,432
60,194,430
70,194,430
80,193,430
90,193,428
100,193,429
110,194,427
120,194,429
130,194,429
140,194,430
150,194,428
160,193,427
170,194,429
180,194,429
190,195,427
200,194,428
210,195,428
220,196,430
230,196,429
240,196,430
250,196,429
260,195,428
270,195,429
280,195,427
290,194,427
300,194,425
310,194,427
320,195,428
330,195,427
340,195,427
350,193,427
360,191,424
370,188,423
380,191,424
390,191,424
400,191,424
410,191,423
420,192,425
430,193,424
440,194,427
450,195,426
460,193,426
470,194,424
480,194,425
490,194,426
500,194,426
510,192,424
520,192,425
530,194,425
540,192,424
550,194,424
560,195,426
570,195,426
580,194,425
590,195,428
600,195,426
610,194,425
620,194,425
630,195,426
640,195,427
650,195,426
660,195,426
670,193,425
680,194,425
690,194,424
700,195,425
710,193,425
720,195,426
730,194,425
740,194,426
750,194,425
760,194,424
770,194,426
780,195,424
790,195,426
800,195,426
810,194,425
820,194,425
830,195,425
840,194,425
850,195,425
860,194,424
870,196,426
880,195,425
890,197,424
900,194,423
910,194,424
920,195,425
930,193,421
940,194,425
950,193,423
960,191,423
970,197,425
980,193,423
990,194,425
