timestamp,MQ-135,MQ-7
0,197,445
10,196,447
20,196,445
30,195,445
40,196,445
50,196,447
60,196,444
70,193,445
80,195,444
90,195,445
100,196,445
110,196,446
120,195,446
130,197,445
140,194,444
150,196,444
160,196,444
170,195,443
180,196,445
190,196,443
200,196,444
210,196,444
220,195,444
230,195,445
240,197,443
250,194,444
260,196,443
270,196,443
280,196,444
290,195,441
300,195,442
310,195,443
320,194,442
330,195,443
340,196,443
350,194,441
360,195,443
370,194,443
380,195,445
390,194,441
400,194,441
410,195,443
420,194,443
430,195,442
440,194,442
450,193,440
460,194,442
470,194,440
480,193,440
490,193,441
500,193,441
510,194,441
520,194,441
530,193,440
540,194,442
550,194,441
560,196,443
570,194,441
580,194,441
590,195,441
600,194,441
610,195,442
620,194,441
630,194,441
640,193,441
650,194,440
660,193,441
670,196,441
680,194,442
690,193,440
700,194,439
710,194,441
720,194,440
730,194,441
740,194,439
750,193,440
760,194,441
770,194,440
780,195,441
790,195,442
800,195,441
810,193,441
820,194,438
830,194,440
840,192,439
850,193,439
860,194,440
870,194,439
880,193,442
890,194,440
900,194,439
910,195,441
920,194,439
930,194,439
940,194,440
950,194,440
960,195,442
970,195,440
980,196,442
990,194,442
