timestamp,MQ-135,MQ-7
0,205,473
10,204,463
20,204,466
30,205,465
40,203,465
50,205,465
60,203,463
70,204,464
80,204,463
90,204,465
100,203,466
110,203,463
120,204,465
130,204,464
140,202,463
150,204,465
160,205,463
170,205,464
180,204,463
190,205,464
200,207,465
210,206,464
220,205,467
230,205,462
240,206,464
250,205,466
260,203,465
270,206,464
280,205,464
290,206,464
300,205,465
310,205,463
320,204,464
330,205,463
340,206,465
350,205,464
360,205,464
370,205,465
380,205,466
390,205,464
400,205,464
410,207,466
420,205,466
430,204,465
440,205,466
450,204,467
460,205,463
470,204,466
480,203,466
490,205,465
500,205,466
510,205,466
520,204,464
530,204,466
540,205,464
550,205,464
560,205,465
570,205,467
580,205,465
590,204,465
600,205,466
610,205,466
620,204,467
630,204,465
640,205,466
650,204,466
660,202,465
670,206,465
680,205,464
690,203,464
700,204,466
710,205,465
720,204,466
730,204,465
740,204,463
750,205,467
760,204,464
770,204,467
780,203,464
790,203,465
800,203,466
810,204,465
820,203,467
830,204,465
840,204,467
850,203,466
860,204,464
870,204,466
880,204,467
890,204,465
900,204,465
910,204,464
920,204,466
930,207,466
940,204,465
950,204,464
960,205,467
970,204,464
980,206,464
990,204,466
