timestamp,MQ-135,MQ-7
0,224,465
10,223,457
20,223,456
30,222,457
40,223,454
50,220,453
60,220,455
70,220,454
80,220,456
90,221,455
100,218,452
110,217,454
120,218,453
130,218,453
140,219,453
150,219,454
160,220,455
170,220,455
180,219,453
190,220,454
200,221,454
210,222,455
220,221,455
230,221,455
240,221,455
250,220,452
260,221,455
270,220,453
280,220,454
290,221,454
300,219,453
310,220,453
320,220,453
330,219,454
340,220,454
350,220,453
360,220,456
370,220,455
380,220,453
390,219,454
400,219,455
410,220,455
420,218,453
430,220,454
440,219,454
450,220,456
460,219,456
470,219,453
480,219,454
490,218,454
500,220,453
510,221,454
520,219,455
530,219,453
540,219,455
550,219,454
560,220,455
570,220,455
580,218,456
590,220,454
600,220,455
610,219,455
620,220,454
630,218,454
640,220,454
650,220,454
660,218,455
670,219,454
680,220,454
690,217,455
700,218,454
710,217,453
720,216,453
730,217,452
740,215,450
750,217,454
760,219,455
770,220,456
780,221,457
790,223,456
800,222,455
810,220,455
820,218,456
830,222,458
840,221,455
850,222,456
860,219,457
870,222,457
880,222,458
890,220,458
900,221,457
910,221,457
920,223,457
930,221,458
940,221,455
950,221,456
960,221,455
970,220,457
980,221,456
990,221,457
