timestamp,MQ-135,MQ-7
0,245,449
10,245,450
20,244,449
30,245,449
40,245,449
50,245,449
60,245,448
70,243,448
80,244,449
90,244,449
100,244,449
110,243,449
120,244,448
130,243,449
140,245,449
150,244,451
160,245,447
170,244,450
180,245,450
190,245,447
200,245,448
210,245,448
220,245,447
230,244,448
240,245,449
250,248,448
260,246,448
270,245,449
280,245,449
290,245,448
300,244,448
310,245,447
320,245,448
330,244,448
340,245,449
350,245,448
360,245,448
370,245,448
380,245,448
390,245,448
400,245,448
410,244,449
420,244,449
430,244,449
440,244,447
450,244,448
460,246,447
470,246,447
480,245,447
490,244,448
500,245,449
510,245,447
520,244,450
530,245,448
540,246,447
550,246,449
560,243,448
570,244,449
580,243,447
590,244,448
600,244,447
610,244,448
620,244,447
630,244,449
640,245,447
650,244,449
660,245,447
670,246,449
680,245,448
690,246,449
700,246,449
710,245,446
720,247,449
730,244,448
740,244,447
750,246,448
760,244,448
770,246,448
780,245,448
790,245,448
800,245,449
810,245,449
820,245,448
830,245,447
840,245,449
850,246,450
860,243,448
870,247,449
880,247,447
890,244,447
900,245,450
910,245,449
920,245,448
930,247,448
940,245,448
950,245,449
960,246,447
970,244,449
980,245,448
990,245,448
