timestamp,MQ-135,MQ-7
0,202,427
10,200,423
20,201,422
30,200,422
40,200,420
50,199,421
60,199,420
70,199,420
80,199,421
90,200,421
100,200,421
110,201,421
120,200,421
130,200,421
140,201,420
150,201,422
160,202,423
170,204,424
180,204,425
190,202,422
200,202,424
210,203,423
220,203,423
230,203,423
240,202,422
250,202,424
260,203,424
270,203,425
280,202,424
290,205,424
300,204,424
310,204,424
320,204,425
330,204,426
340,204,426
350,204,426
360,205,425
370,204,427
380,204,424
390,204,425
400,205,426
410,202,427
420,204,426
430,205,428
440,203,426
450,204,427
460,205,426
470,204,426
480,203,426
490,201,426
500,204,427
510,205,427
520,205,426
530,205,427
540,205,426
550,204,426
560,205,428
570,205,424
580,204,425
590,205,427
600,205,429
610,205,427
620,206,428
630,204,429
640,205,428
650,205,426
660,206,429
670,206,428
680,205,429
690,205,427
700,205,427
710,206,428
720,205,429
730,206,427
740,206,430
750,205,429
760,208,429
770,206,429
780,205,430
790,207,429
800,206,428
810,206,428
820,206,429
830,204,431
840,206,429
850,208,430
860,207,430
870,206,430
880,205,430
890,206,429
900,206,431
910,206,430
920,207,431
930,207,430
940,206,429
950,207,431
960,207,432
970,205,430
980,207,431
990,207,430
