timestamp,MQ-135,MQ-7
0,557,487
10,555,481
20,555,481
30,555,480
40,554,482
50,556,480
60,557,481
70,556,479
80,560,481
90,557,480
100,556,481
110,558,481
120,557,482
130,561,481
140,557,479
150,555,480
160,556,481
170,552,481
180,556,481
190,558,481
200,555,480
210,556,478
220,558,480
230,557,480
240,558,482
250,557,480
260,559,481
270,560,481
280,559,480
290,561,481
300,558,480
310,558,481
320,559,478
330,560,479
340,559,480
350,559,480
360,560,478
370,560,479
380,562,480
390,559,481
400,559,479
410,559,481
420,559,479
430,557,480
440,560,481
450,560,481
460,560,479
470,562,479
480,561,480
490,558,481
500,559,481
510,559,480
520,562,481
530,558,481
540,563,481
550,561,481
560,560,481
570,562,479
580,560,480
590,561,480
600,562,481
610,561,479
620,562,480
630,562,480
640,560,478
650,562,480
660,562,479
670,562,480
680,563,480
690,563,480
700,563,480
710,560,480
720,562,478
730,563,480
740,564,480
750,562,481
760,562,480
770,565,479
780,563,480
790,562,481
800,562,480
810,561,480
820,565,481
830,563,481
840,564,480
850,563,479
860,562,479
870,563,480
880,563,481
890,561,479
900,563,480
910,563,480
920,562,480
930,562,479
940,563,480
950,565,480
960,565,481
970,565,480
980,565,481
990,564,481
