timestamp,MQ-135,MQ-7
0,186,431
10,186,433
20,184,431
30,186,431
40,184,430
50,185,432
60,189,431
70,186,432
80,186,429
90,185,430
100,187,431
110,185,430
120,184,430
130,185,430
140,187,430
150,185,431
160,185,428
170,188,431
180,185,431
190,185,431
200,186,431
210,186,430
220,185,429
230,186,429
240,184,431
250,187,430
260,186,430
270,185,430
280,185,428
290,185,429
300,185,430
310,184,429
320,186,430
330,184,429
340,184,428
350,183,430
360,185,429
370,185,430
380,184,427
390,184,427
400,183,428
410,182,428
420,186,430
430,187,428
440,186,427
450,185,430
460,182,428
470,183,427
480,185,428
490,185,428
500,184,429
510,187,426
520,188,428
530,184,425
540,184,427
550,185,428
560,185,425
570,185,428
580,185,428
590,184,429
600,184,427
610,183,426
620,185,426
630,187,425
640,185,426
650,185,427
660,186,427
670,187,427
680,184,424
690,185,426
700,186,427
710,183,425
720,188,427
730,183,425
740,185,426
750,185,426
760,185,425
770,186,426
780,185,426
790,184,426
800,182,427
810,186,424
820,184,427
830,183,425
840,184,427
850,184,426
860,184,425
870,182,425
880,184,424
890,184,427
900,184,426
910,184,424
920,185,426
930,184,424
940,184,423
950,184,425
960,186,425
970,184,425
980,184,423
990,183,424
