timestamp,MQ-135,MQ-7
0,200,454
10,203,454
20,200,454
30,202,450
40,200,453
50,199,452
60,201,452
70,198,450
80,198,450
90,199,452
100,198,452
110,199,452
120,196,453
130,199,450
140,199,451
150,201,450
160,202,451
170,198,452
180,199,449
190,200,451
200,200,451
210,200,452
220,198,453
230,199,452
240,202,450
250,199,451
260,200,450
270,199,452
280,198,447
290,200,451
300,200,450
310,200,451
320,201,452
330,202,451
340,200,450
350,199,451
360,201,451
370,200,451
380,202,451
390,200,450
400,201,451
410,200,450
420,199,450
430,200,448
440,200,449
450,199,449
460,201,449
470,199,450
480,200,450
490,200,451
500,200,449
510,197,449
520,200,452
530,201,449
540,202,449
550,199,450
560,199,448
570,198,449
580,200,451
590,200,450
600,200,450
610,199,448
620,199,450
630,199,448
640,200,451
650,199,448
660,199,450
670,200,451
680,198,449
690,200,450
700,199,450
710,199,450
720,200,449
730,199,448
740,199,450
750,198,450
760,200,450
770,198,450
780,199,450
790,199,450
800,199,448
810,199,452
820,200,450
830,198,451
840,200,451
850,200,450
860,199,451
870,199,450
880,200,451
890,199,451
900,199,450
910,199,451
920,199,450
930,199,448
940,199,450
950,199,451
960,198,451
970,199,450
980,199,451
990,198,451
