timestamp,MQ-135,MQ-7
0,552,468
10,550,465
20,550,462
30,549,462
40,550,464
50,552,463
60,552,463
70,551,462
80,551,463
90,550,461
100,550,461
110,550,462
120,547,462
130,548,461
140,550,459
150,548,460
160,547,461
170,550,460
180,550,462
190,550,460
200,548,460
210,550,463
220,548,459
230,549,462
240,549,459
250,549,462
260,547,461
270,547,460
280,549,460
290,548,461
300,546,459
310,548,462
320,547,459
330,545,460
340,544,459
350,548,460
360,547,461
370,547,462
380,548,459
390,546,460
400,546,461
410,548,461
420,543,460
430,546,461
440,547,459
450,545,458
460,545,459
470,546,458
480,547,460
490,544,458
500,544,460
510,544,459
520,544,459
530,543,459
540,542,458
550,545,460
560,543,458
570,545,458
580,544,460
590,544,458
600,542,457
610,543,460
620,543,457
630,540,460
640,542,458
650,542,459
660,542,459
670,539,459
680,541,459
690,542,458
700,542,458
710,543,457
720,541,459
730,540,459
740,540,458
750,540,459
760,544,460
770,540,458
780,541,458
790,541,458
800,538,459
810,539,457
820,540,456
830,542,459
840,539,459
850,539,459
860,538,459
870,538,458
880,540,457
890,536,459
900,537,458
910,538,457
920,537,457
930,537,458
940,536,458
950,534,457
960,536,457
970,535,457
980,534,455
990,531,457
