timestamp,MQ-135,MQ-7
0,195,442
10,195,444
20,195,443
30,195,445
40,194,442
50,195,443
60,196,441
70,194,441
80,194,441
90,194,440
100,194,443
110,194,440
120,194,441
130,195,442
140,193,439
150,194,440
160,196,442
170,194,440
180,194,440
190,195,440
200,196,440
210,195,440
220,195,441
230,195,442
240,195,442
250,197,440
260,195,440
270,195,443
280,195,442
290,194,442
300,195,441
310,195,441
320,194,440
330,194,441
340,196,440
350,194,442
360,194,439
370,195,442
380,195,442
390,195,443
400,195,442
410,195,442
420,195,442
430,195,442
440,195,441
450,196,443
460,195,441
470,195,443
480,195,442
490,194,441
500,194,442
510,195,442
520,195,441
530,194,441
540,195,440
550,195,442
560,196,442
570,194,441
580,194,439
590,194,442
600,195,441
610,195,440
620,195,441
630,195,441
640,195,440
650,195,440
660,195,440
670,195,439
680,195,440
690,192,439
700,194,440
710,194,437
720,194,440
730,194,439
740,194,439
750,194,438
760,196,438
770,194,438
780,194,439
790,192,435
800,192,439
810,194,436
820,194,438
830,192,438
840,194,437
850,194,439
860,192,436
870,194,437
880,196,438
890,197,436
900,194,438
910,194,438
920,194,437
930,195,436
940,194,436
950,194,437
960,197,437
970,193,437
980,194,435
990,193,437
