timestamp,MQ-135,MQ-7
0,219,433
10,218,435
20,218,435
30,217,434
40,217,434
50,219,435
60,217,432
70,217,433
80,217,434
90,216,433
100,217,431
110,217,434
120,216,432
130,216,433
140,216,434
150,216,433
160,216,432
170,217,432
180,216,432
190,217,433
200,220,432
210,218,433
220,218,431
230,217,433
240,219,431
250,217,433
260,216,434
270,219,431
280,217,433
290,215,433
300,217,433
310,218,434
320,218,432
330,218,433
340,217,432
350,217,432
360,215,433
370,216,431
380,217,432
390,217,433
400,217,433
410,215,432
420,216,433
430,217,431
440,216,431
450,216,432
460,216,433
470,214,433
480,216,432
490,217,432
500,217,430
510,217,433
520,216,431
530,217,431
540,216,432
550,215,433
560,217,431
570,218,432
580,215,432
590,216,431
600,219,432
610,216,433
620,216,431
630,216,431
640,215,432
650,216,432
660,216,431
670,213,431
680,216,432
690,216,432
700,215,431
710,215,431
720,216,431
730,216,431
740,218,432
750,215,429
760,216,432
770,216,432
780,216,431
790,215,432
800,217,431
810,216,432
820,214,429
830,214,431
840,214,431
850,215,431
860,215,432
870,214,431
880,218,431
890,215,429
900,217,431
910,216,432
920,216,432
930,215,430
940,214,431
950,215,429
960,217,430
970,216,429
980,215,430
990,216,430
